Variable,Index,Value
P_gen,"(1, 5, 4)",338.0336737174813
P_gen,"(1, 5, 5)",321.7851932895698
P_gen,"(1, 5, 6)",500.0
P_gen,"(1, 5, 7)",226.73656698273783
P_gen,"(1, 5, 8)",222.67444687575986
P_gen,"(1, 5, 9)",220.6558473133966
P_gen,"(1, 5, 10)",115.19815220034029
P_gen,"(1, 5, 11)",500.0
P_gen,"(1, 5, 12)",500.0
P_gen,"(1, 5, 13)",500.0
P_gen,"(1, 5, 14)",500.0
P_gen,"(1, 5, 15)",500.0
P_gen,"(1, 5, 16)",500.0
P_gen,"(1, 5, 17)",500.0
P_gen,"(1, 5, 18)",484.86810114271805
P_gen,"(1, 5, 19)",500.0
P_gen,"(1, 5, 20)",500.0
P_gen,"(1, 5, 21)",500.0
P_gen,"(1, 5, 22)",500.0
P_gen,"(1, 5, 23)",500.0
P_gen,"(1, 5, 24)",500.0
P_gen,"(1, 5, 25)",500.0
P_gen,"(1, 5, 26)",437.61791879406763
P_gen,"(1, 5, 27)",345.2358375881351
P_gen,"(1, 5, 28)",500.0
P_gen,"(1, 5, 29)",299.7799659615853
P_gen,"(1, 5, 30)",500.0
P_gen,"(1, 5, 31)",232.99173352783848
P_gen,"(1, 5, 32)",204.58181376124483
P_gen,"(1, 5, 33)",241.14089472404558
P_gen,"(1, 5, 34)",500.0
P_gen,"(1, 5, 35)",500.0
P_gen,"(1, 5, 36)",500.0
P_gen,"(1, 5, 37)",500.0
P_gen,"(1, 5, 38)",500.0
P_gen,"(1, 5, 39)",500.0
P_gen,"(1, 5, 40)",500.0
P_gen,"(1, 5, 41)",500.0
P_gen,"(1, 5, 42)",500.0
P_gen,"(1, 5, 43)",500.0
P_gen,"(1, 5, 44)",500.0
P_gen,"(1, 5, 45)",500.0
P_gen,"(1, 5, 46)",500.0
P_gen,"(1, 5, 47)",500.0
P_gen,"(1, 5, 48)",500.0
P_gen,"(1, 5, 49)",500.0
P_gen,"(1, 5, 50)",500.0
P_gen,"(1, 5, 51)",382.0192073911986
P_gen,"(1, 5, 52)",373.969730123997
P_gen,"(1, 5, 53)",372.34986627765625
P_gen,"(1, 5, 54)",500.0
P_gen,"(1, 5, 55)",286.8958181376124
P_gen,"(1, 5, 56)",256.24300996839287
P_gen,"(1, 5, 57)",283.5813274981765
P_gen,"(1, 5, 58)",463.8597131047897
P_gen,"(1, 5, 59)",500.0
P_gen,"(1, 5, 60)",500.0
P_gen,"(1, 5, 61)",500.0
P_gen,"(1, 5, 62)",500.0
P_gen,"(1, 5, 63)",500.0
P_gen,"(1, 5, 64)",500.0
P_gen,"(1, 5, 65)",500.0
P_gen,"(1, 5, 66)",500.0
P_gen,"(1, 5, 67)",500.0
P_gen,"(1, 5, 68)",500.0
P_gen,"(1, 5, 69)",500.0
P_gen,"(1, 5, 70)",500.0
P_gen,"(1, 5, 71)",500.0
P_gen,"(1, 5, 72)",500.0
P_gen,"(1, 5, 73)",500.0
P_gen,"(1, 5, 74)",500.0
P_gen,"(1, 5, 75)",425.8801361536591
P_gen,"(1, 5, 76)",500.0
P_gen,"(1, 5, 77)",377.60819353270125
P_gen,"(1, 5, 78)",326.64478482859226
P_gen,"(1, 5, 79)",278.6469730123996
P_gen,"(1, 5, 80)",242.0380500850959
P_gen,"(1, 5, 81)",280.46620471675163
P_gen,"(1, 5, 82)",465.08084123510855
P_gen,"(1, 5, 83)",500.0
P_gen,"(1, 5, 84)",500.0
P_gen,"(1, 5, 85)",500.0
P_gen,"(1, 5, 86)",500.0
P_gen,"(1, 5, 87)",500.0
P_gen,"(1, 5, 88)",500.0
P_gen,"(1, 5, 89)",500.0
P_gen,"(1, 5, 90)",500.0
P_gen,"(1, 5, 91)",500.0
P_gen,"(1, 5, 92)",500.0
P_gen,"(1, 5, 93)",500.0
P_gen,"(1, 5, 94)",500.0
P_gen,"(1, 5, 95)",500.0
P_gen,"(1, 5, 96)",500.0
P_gen,"(1, 5, 97)",500.0
P_gen,"(1, 5, 98)",500.0
P_gen,"(1, 5, 99)",407.4635302698762
P_gen,"(1, 5, 100)",361.85813274981786
P_gen,"(1, 5, 101)",339.37940675905656
P_gen,"(1, 5, 102)",278.39776318988584
P_gen,"(1, 5, 103)",228.97945538536354
P_gen,"(1, 5, 104)",498.8749088256746
P_gen,"(1, 5, 105)",274.88390469243876
P_gen,"(1, 5, 106)",500.0
P_gen,"(1, 5, 107)",500.0
P_gen,"(1, 5, 108)",500.0
P_gen,"(1, 5, 109)",500.0
P_gen,"(1, 5, 110)",500.0
P_gen,"(1, 5, 111)",500.0
P_gen,"(1, 5, 112)",500.0
P_gen,"(1, 5, 113)",500.0
P_gen,"(1, 5, 114)",500.0
P_gen,"(1, 5, 115)",500.0
P_gen,"(1, 5, 116)",500.0
P_gen,"(1, 5, 117)",500.0
P_gen,"(1, 5, 118)",500.0
P_gen,"(1, 5, 119)",500.0
P_gen,"(1, 5, 120)",500.0
P_gen,"(1, 5, 121)",500.0
P_gen,"(1, 5, 122)",500.0
P_gen,"(1, 5, 123)",488.9551422319476
P_gen,"(1, 5, 124)",459.7975929978119
P_gen,"(1, 5, 125)",434.1539022611231
P_gen,"(1, 5, 126)",500.0
P_gen,"(1, 5, 127)",500.0
P_gen,"(1, 5, 128)",500.0
P_gen,"(1, 5, 129)",500.0
P_gen,"(1, 5, 130)",500.0
P_gen,"(1, 5, 131)",500.0
P_gen,"(1, 5, 132)",500.0
P_gen,"(2, 1, 1)",400.0
P_gen,"(2, 1, 2)",400.0
P_gen,"(2, 1, 3)",400.0
P_gen,"(2, 1, 4)",400.0
P_gen,"(2, 1, 5)",400.0
P_gen,"(2, 1, 6)",400.0
